url,locale,content_type,category,role,title,title_length,description_length,h1,inbound_internal_links,outbound_internal_links,snippet_risk,overlap_group,overlap_group_confidence,overlap_group_source,manual_review_required,title_source,description_source,priority,recommended_action,source_file
/en/market,en,market,realEstate,EN_MAINTENANCE_ONLY,Financial and Real Estate Market Data,37,0,Market Data Dashboard,1,5,none,real-estate-data,high,url_slug_title_h1_description,true,locale_object.title,META_EXTRACTION_FAILED,P2,P1-3 intent split or consolidation review,pages/market/index.js
/en/market/indices,en,market,realEstate,EN_MAINTENANCE_ONLY,시장 데이터를 불러오는 중입니다.,18,0,시장 데이터를 불러오는 중입니다.,4,5,loading,general,low,no_primary_overlap_signal,true,seo_head_literal.title,META_EXTRACTION_FAILED,P3,P0-2 snippet hygiene review,pages/market/indices.js
/en/market/real-estate,en,market,realEstate,EN_MAINTENANCE_ONLY,"Seoul, Gyeonggi & Incheon Apartment Transaction Dashboard (KRW)",63,181,"Seoul, Gyeonggi & Incheon Apartment Transaction Dashboard (KRW)",16,5,share_buttons|loading|empty_result,real-estate-loan,high,url_slug_title_h1_description,false,locale_object.title,locale_object.seoDesc,P0,P0-2 snippet hygiene review,pages/market/real-estate.js
/en/market/real-estate/gangnam-top100,en,market,realEstate,EN_MAINTENANCE_ONLY,Gangnam Apartment Prices Top 100 | Official Transactions,56,0,Gangnam Apartment Prices Top 100,7,6,none,real-estate-loan,high,url_slug_title_h1_description,true,locale_object.title,META_EXTRACTION_FAILED,P1,P1-2 internal CTA/link structure review,pages/market/real-estate/gangnam-top100.js
/en/market/real-estate/gangnam3-top100,en,market,realEstate,EN_MAINTENANCE_ONLY,Gangnam 3 Districts Apartment Prices Top 100 | Official Transactions,68,0,Gangnam 3 Districts Apartment Prices Top 100,6,6,none,real-estate-loan,high,url_slug_title_h1_description,true,locale_object.title,META_EXTRACTION_FAILED,P1,P1-2 internal CTA/link structure review,pages/market/real-estate/gangnam3-top100.js
/en/market/real-estate/gyeonggi-apartment-top100,en,market,realEstate,EN_MAINTENANCE_ONLY,,0,0,,1,0,none,real-estate-loan,high,url_slug_title_h1_description,true,META_EXTRACTION_FAILED,META_EXTRACTION_FAILED,P1,P1-2 internal CTA/link structure review,pages/market/real-estate/gyeonggi-apartment-top100.js
/en/market/real-estate/incheon-apartment-top100,en,market,realEstate,EN_MAINTENANCE_ONLY,,0,0,,1,0,none,real-estate-loan,high,url_slug_title_h1_description,true,META_EXTRACTION_FAILED,META_EXTRACTION_FAILED,P1,P1-2 internal CTA/link structure review,pages/market/real-estate/incheon-apartment-top100.js
/en/market/real-estate/magok-top100,en,market,realEstate,EN_MAINTENANCE_ONLY,Magok Apartment Prices Top 100 | Magok-dong (Gangseo-gu) Ranking,64,0,Magok Apartment Prices Top 100,7,7,none,real-estate-loan,high,url_slug_title_h1_description,true,locale_object.title,META_EXTRACTION_FAILED,P1,P1-2 internal CTA/link structure review,pages/market/real-estate/magok-top100.js
/en/market/real-estate/mayongseong-top100,en,market,realEstate,EN_MAINTENANCE_ONLY,Mayongseong Apartment Prices Top 100 | Mapo · Yongsan · Seongsu,63,0,Mayongseong Apartment Prices Top 100,5,6,none,real-estate-loan,high,url_slug_title_h1_description,true,locale_object.title,META_EXTRACTION_FAILED,P1,P1-2 internal CTA/link structure review,pages/market/real-estate/mayongseong-top100.js
/en/market/real-estate/seoul-apartment-top100,en,market,realEstate,EN_MAINTENANCE_ONLY,,0,0,,1,0,none,real-estate-loan,high,url_slug_title_h1_description,true,META_EXTRACTION_FAILED,META_EXTRACTION_FAILED,P1,P1-2 internal CTA/link structure review,pages/market/real-estate/seoul-apartment-top100.js
/en/market/real-estate/seoul-top100,en,market,realEstate,EN_MAINTENANCE_ONLY,Seoul Apartment Prices Top 100 | Official Transactions,54,0,Seoul Apartment Prices Top 100,8,6,none,real-estate-loan,high,url_slug_title_h1_description,true,locale_object.title,META_EXTRACTION_FAILED,P1,P1-2 internal CTA/link structure review,pages/market/real-estate/seoul-top100.js
/en/market/real-estate/songpa-top100,en,market,realEstate,EN_MAINTENANCE_ONLY,Songpa (Jamsil) Apartment Prices Top 100 | Official Transactions,64,0,Songpa (Jamsil) Apartment Prices Top 100,5,6,none,real-estate-loan,high,url_slug_title_h1_description,true,locale_object.title,META_EXTRACTION_FAILED,P1,P1-2 internal CTA/link structure review,pages/market/real-estate/songpa-top100.js
/en/posts/economicInfo/eu-russia-gas-phaseout-price-channel,en,post,economicInfo,EN_MAINTENANCE_ONLY,"Europe’s Shift Away from Russian Gas: How Contracts, Storage, and Substitution Drive Prices",91,211,"Europe’s Shift Away from Russian Gas: How Contracts, Storage, and Substitution Drive Prices",0,7,share_buttons|post_template_view_count_protected_by_data_nosnippet|post_template_empty_comments_protected_by_data_nosnippet|post_template_share_buttons_protected_by_data_nosnippet,macro-market,medium,tags_only,true,frontmatter.title,frontmatter.description,P2,P0-2 snippet hygiene review,content/posts/economicInfo/en/eu-russia-gas-phaseout-price-channel.md
/en/posts/economicInfo/fx-basics,en,post,economicInfo,EN_MAINTENANCE_ONLY,Currency Basics: What Really Moves the USD/KRW Exchange Rate,60,168,Currency Basics: What Really Moves the USD/KRW Exchange Rate,19,16,post_template_view_count_protected_by_data_nosnippet|post_template_empty_comments_protected_by_data_nosnippet|post_template_share_buttons_protected_by_data_nosnippet,real-estate-loan,high,url_slug_title_h1_description,false,frontmatter.title,frontmatter.description,P1,P1-2 internal CTA/link structure review,content/posts/economicInfo/en/fx-basics.md
/en/posts/economicInfo/geopolitics-oil-fx-dashboard,en,post,economicInfo,EN_MAINTENANCE_ONLY,From Geopolitics to Korea Housing: The 5-Step Transmission Chain (CPI → Rates → Mortgages → Sentiment → Volume),111,289,From Geopolitics to Korea Housing: The 5-Step Transmission Chain (CPI → Rates → Mortgages → Sentiment → Volume),1,6,views|share_buttons|post_template_view_count_protected_by_data_nosnippet|post_template_empty_comments_protected_by_data_nosnippet|post_template_share_buttons_protected_by_data_nosnippet,real-estate-loan,high,url_slug_title_h1_description,false,frontmatter.title,frontmatter.description,P0,P0-2 snippet hygiene review,content/posts/economicInfo/en/geopolitics-oil-fx-dashboard.md
/en/posts/economicInfo/geopolitics-to-usd-liquidity-fx,en,post,economicInfo,EN_MAINTENANCE_ONLY,"When Geopolitics Turns Into Dollar Strength: Read It as USD Liquidity, Not Just “Fear”",86,199,"When Geopolitics Turns Into Dollar Strength: Read It as USD Liquidity, Not Just “Fear”",7,7,post_template_view_count_protected_by_data_nosnippet|post_template_empty_comments_protected_by_data_nosnippet|post_template_share_buttons_protected_by_data_nosnippet,macro-market,high,url_slug_title_h1_description,false,frontmatter.title,frontmatter.description,P2,Monitor or low-priority editorial refresh,content/posts/economicInfo/en/geopolitics-to-usd-liquidity-fx.md
/en/posts/economicInfo/gold-geopolitics-real-rates-dollar-uncertainty,en,post,economicInfo,EN_MAINTENANCE_ONLY,Why Gold Can Rise in Geopolitical Stress: Real Rates + USD + Uncertainty (and When It Doesn’t),94,194,Why Gold Can Rise in Geopolitical Stress: Real Rates + USD + Uncertainty (and When It Doesn’t),0,6,post_template_view_count_protected_by_data_nosnippet|post_template_empty_comments_protected_by_data_nosnippet|post_template_share_buttons_protected_by_data_nosnippet,macro-market,medium,tags_only,true,frontmatter.title,frontmatter.description,P2,P1-2 add contextual internal links,content/posts/economicInfo/en/gold-geopolitics-real-rates-dollar-uncertainty.md
/en/posts/economicInfo/hormuz-risk-oil-insurance-freight-premium,en,post,economicInfo,EN_MAINTENANCE_ONLY,"Middle East Oil Shipping Risk, Explained on One Page: Oil Often Reacts to Insurance and Freight Premia Before Any “Blockade”",124,202,"Middle East Oil Shipping Risk, Explained on One Page: Oil Often Reacts to Insurance and Freight Premia Before Any “Blockade”",0,7,share_buttons|post_template_view_count_protected_by_data_nosnippet|post_template_empty_comments_protected_by_data_nosnippet|post_template_share_buttons_protected_by_data_nosnippet,macro-market,high,url_slug_title_h1_description,false,frontmatter.title,frontmatter.description,P2,P0-2 snippet hygiene review,content/posts/economicInfo/en/hormuz-risk-oil-insurance-freight-premium.md
/en/posts/economicInfo/indicator-basics,en,post,economicInfo,EN_MAINTENANCE_ONLY,How to Read Economic Indicators as Market Signals,49,148,How to Read Economic Indicators as Market Signals,2,5,post_template_view_count_protected_by_data_nosnippet|post_template_empty_comments_protected_by_data_nosnippet|post_template_share_buttons_protected_by_data_nosnippet,macro-market,high,url_slug_title_h1_description,false,frontmatter.seoTitle,frontmatter.seoDescription,P2,Monitor or low-priority editorial refresh,content/posts/economicInfo/en/indicator-basics.md
/en/posts/economicInfo/inflation-basics,en,post,economicInfo,EN_MAINTENANCE_ONLY,Inflation and Interest Rates: A Long-Term Investor's Core Framework,67,137,Inflation and Interest Rates: A Long-Term Investor's Core Framework,2,5,post_template_view_count_protected_by_data_nosnippet|post_template_empty_comments_protected_by_data_nosnippet|post_template_share_buttons_protected_by_data_nosnippet,real-estate-loan,high,url_slug_title_h1_description,false,frontmatter.seoTitle,frontmatter.seoDescription,P1,P1-2 internal CTA/link structure review,content/posts/economicInfo/en/inflation-basics.md
